reg_ts;uid
1600199052;1096404
1468135226;88861
1571073579;629597
1564547726;556031
1448858210;61527
1495677151;149953
1584580979;814492
1584486250;813016
1444853106;56974
1584444748;812378
1552697739;443817
1552912724;445634
1592673007;950092
1592881357;953846
1564794289;558623
1593238449;960394
1424778749;38855
1600648032;1105812
1549584653;418308
1589890041;901058
1572047940;641397
1579026361;732774
1521159332;243660
1599799645;1088085
1576236888;694785
1520192285;239217
1558143890;492217
1599830365;1088716
1543721984;374281
1566394776;575951
1597811648;1047775
1276572036;2306
1579328815;736994
1580441193;752743
1598605374;1063676
1568796979;602834
1567508567;588286
1458324682;73728
1532651964;303153
1593940638;973279
1558115918;491955
1430074372;42967
1526869184;271552
1541322652;357609
1519475918;235947
1580955944;760172
1560075452;510590
1542748489;367424
1590465444;910989
1597341138;1038416
1594091926;976105
1565186130;562830
1456002504;70519
1571216062;631315
1592690569;950415
1574588980;673250
1547032785;398551
1510302157;198102
1596602362;1023933
1545467372;386858
1549685108;419110
1437691532;49721
1581447985;767306
1443798586;55843
1587878665;867229
1392514233;21043
1589457613;893676
1353287923;9952
1479837834;110984
1578667742;727813
1522481407;249841
1596870175;1029110
1459547529;75465
1460300465;76543
1595599453;1004560
1526822103;271315
1596047920;1013146
1589391035;892543
1558323578;493894
1595101813;995063
1592877931;953785
1571829400;638732
1560529786;515016
1515469835;218574
1539170883;343255
1545318747;385766
1539472835;345239
1591558050;930122
1531734295;297903
1548081742;406541
1558871021;499050
1572875537;651591
1599853139;1089182
1445188775;57338
1594920582;991662
1571961744;640342
1562403976;533744
1569526036;611295
1572639919;648654
1547503688;402109
1422144692;36957
1520240574;239439
1492163803;140264
1560115641;510976
1563326033;543185
1455800120;70261
1599020787;1072125
1587794759;865841
1581819151;772746
1570584915;623770
1533987653;310964
1593926786;973026
1571499783;634751
1557192216;483404
1529310460;284460
1567311482;586088
1542669647;366882
1593711349;969031
1460586507;76956
1580523376;753918
1533119359;305870
1597804574;1047636
1572910260;652033
1594700740;987521
1549905129;420863
1487584377;128539
1566254728;574406
1531288348;295404
1580268819;750279
1552835435;444983
1570923275;627813
1479929269;111175
1582214625;778536
1481778567;115134
1508467652;191310
1542816745;367912
1529922673;287814
1597546308;1042496
1574587680;673232
1600362458;1099843
1591073125;921542
1593874766;972058
1529429709;285116
1527377495;274184
1432799855;45288
1540123038;349531
1396553399;22702
1567023767;582873
1572518829;647146
1594264534;979328
1599498623;1081887
1555637024;469287
1580108206;747995
1590872086;918041
1584611920;814972
1591544999;929880
1571363320;633078
1334623004;6961
1600670824;1106291
1582991438;790148
1598695161;1065487
1448545250;61146
1398433746;23528
1556553061;477540
1600485037;1102393
1491001730;137193
1556811723;479894
1532972441;305007
1487296303;127834
1556705878;478926
1475884412;102962
1558930123;499618
1545512751;387197
1544877200;382557
1562703497;536766
1565385864;564982
1562439148;534098
1557910410;490043
1567692666;590363
1570071648;617665
1599458965;1081071
1550931304;429147
1408638689;28607
1561217362;521778
1597166409;1034939
1563228238;542189
1516470635;222790
1581696754;770949
1599243476;1076633
1589335893;891609
1479151752;109548
1538153503;336682
1586826737;850054
1584189342;808414
1566418672;576204
1568337739;597611
1557985103;490745
1555422191;467384
1512354513;205989
1454803453;68934
1410517222;29654
1510253831;197911
1531235180;295096
1515912167;220416
1549099471;414487
1591487863;928862
1504785933;178346
1462609169;79975
1589349438;891850
1438720663;50722
1574026383;666082
1546054120;391213
1559947599;509366
1587642496;863325
1591835801;935057
1563253940;542453
1547286178;400441
1550634956;426743
1514898951;216210
1512570473;206834
1585334489;826245
1587024824;853247
1552063289;438500
1571647349;636553
1596995001;1031585
1592498656;946932
1584794335;817785
1583838818;803030
1564071853;551012
1513359450;209967
1591042027;920990
1554541914;459622
1587403360;859420
1516185165;221587
1567732075;590802
1596539574;1022707
1597344341;1038483
1565951042;571082
1597710573;1045751
1504252948;176546
1600625600;1105354
1574674176;674339
1571082194;629698
1596757724;1026932
1489751568;133965
1478908742;109055
1585075647;822190
1588852315;883478
1577285874;708842
1592926241;954673
1417189109;33663
1575972371;691291
1412933718;31043
1595115241;995316
1567370069;586738
1475048211;101348
1577787168;715660
1547413798;401424
1582580805;783984
1584700776;816340
1383338617;17637
1593667011;968214
1545131919;384419
1573779164;662944
1538804042;340872
1595916143;1010594
1598183941;1055232
1586388106;843004
1560360680;513355
1579220151;735470
1581848366;773177
1498272398;157524
1574454672;671543
1572635513;648597
1498773992;159029
1559579695;505846
1490483330;135844
1583321524;795140
1578532706;725946
1547010381;398383
1599492150;1081758
1541296206;357431
1568544437;599960
1585898222;835169
1511804972;203854
1585741266;832684
1571175207;630819
1489302386;132822
1593049322;956930
1587845011;866673
1528458255;279869
1552062889;438497
1568786336;602712
1578147455;720633
1537264522;330995
1535043063;317255
1598802561;1067657
1556818407;479956
1538962183;341886
1549096937;414468
1578107518;720078
1443073042;55079
1542711785;367175
1572289118;644326
1500660260;164867
1581850403;773206
1563297466;542897
1598998956;1071670
1546154553;391969
1519917801;237947
1435880050;48029
1586636652;847006
1562417414;533879
1491675274;138962
1578691630;728152
1566801139;580415
1581876886;773605
1486491109;125909
1573177437;655381
1581878168;773622
1573354094;657578
1544304694;378425
1512150743;205205
1583873540;803563
1582002099;775418
1598099479;1053542
1563115710;541035
1541993054;362206
1587728941;864743
1579124458;734137
1580969222;760356
1374179561;14826
1600627553;1105392
1529965639;288058
1584908949;819585
1582737312;786324
1563486623;544873
1560803441;517681
1597899186;1049534
1583595848;799332
1495352058;149028
1499468492;161158
1567253028;585431
1578445737;724739
1588659819;880235
1599048810;1072687
1538427553;338425
1595459148;1001884
1574282380;669343
1590054468;903889
1584211209;808753
1576610927;699781
1588459095;876883
1586602330;846453
1574237300;668764
1592875422;953737
1550787156;427975
1561738160;527028
1569465220;610580
1571665766;636771
1542468349;365473
1577653363;713840
1571948169;640175
1572104296;642073
1592787306;952162
1534904200;316428
1376571708;15521
1564576880;556335
1389912380;20022
1536240105;324596
1309693427;4309
1376818865;15594
1590257303;907391
1589749194;898668
1553127875;447454
1576428759;697330
1550620464;426623
1527834964;276594
1459081166;74793
1544155987;377365
1592532353;947545
1508376684;190980
1542741976;367381
1539956634;348422
1468879737;90125
1469939958;91957
1497450953;155079
1563351795;543455
1565136051;562289
1547006866;398355
1587782559;865638
1576911569;703794
1511789227;203794
1421994674;36850
1571070336;629557
1590424818;910308
1578491130;725360
1511468147;202558
1445936030;58162
1574546070;672709
1565039597;561247
1492814490;141995
1471285221;94317
1452019910;65363
1565558094;566839
1520634741;241243
1585840546;834252
1588715741;881174
1585220872;824474
1555714646;469973
1553780328;453023
1501581723;167783
1543780266;374701
1565749143;568906
1532832784;304207
1508855095;192724
1586675151;847630
1561707387;526717
1477983088;107146
1559623146;506266
1569242169;607977
1497117003;154112
1515915343;220430
1551084682;430417
1597601083;1043588
1524567073;259949
1588192227;872423
1528928564;282394
1587843867;866654
1547667678;403355
1496068642;151080
1445089012;57231
1351697200;9660
1591425886;927741
1587260579;857082
1587749113;865069
1593216023;959985
1472245001;96050
1529551751;285765
1493786949;144643
1598043836;1052440
1511478516;202599
1475723125;102645
1599331531;1078446
1551883118;437012
1482831365;117455
1563823463;548399
1535391182;319381
1596528731;1022494
1487955671;129450
1596734648;1026489
1538540903;339147
1450716116;63753
1560914619;518783
1585926652;835622
1600851172;1110135
1544317646;378521
1428933900;42049
1580734247;756968
1572791944;650546
1596391977;1019824
1589547708;895233
1583396908;796296
1578167776;720907
1559502732;505115
1506668819;184878
1577956893;718009
1543853884;375228
1417284329;33721
1456678623;71444
1553474933;450402
1497353440;154794
1565230466;563306
1494752430;147324
1597443486;1040443
1565830282;569772
1585218890;824441
1583696420;800883
1585850478;834409
1506796176;185332
1403315227;25840
1565499201;566201
1528856402;282006
1595545342;1003522
1506710149;185022
1504150732;176208
1552198543;439625
1358668160;11038
1592656359;949793
1576605090;699703
1586541764;845472
1484006023;120129
1545583832;387715
1600228264;1097012
1589460943;893735
1543013238;369292
1576536082;698780
1571002470;628752
1572064671;641601
1266168633;1896
1564373620;554189
1436459631;48570
1584960187;820385
1566634052;578567
1595718639;1006819
1600250813;1097492
1579938022;745586
1598980384;1071285
1596378127;1019552
1548769071;411858
1533574312;308523
1587488775;860804
1495156347;148476
1307054716;4096
1483814743;119687
1589466166;893829
1542491179;365629
1597290873;1037403
1565564268;566905
1598147538;1054502
1517385849;226721
1512471931;206446
1597776157;1047072
1594899687;991267
1541805639;360924
1591759798;933725
1572554330;647599
1527135607;272924
1593183066;959372
1526264691;268469
1573181710;655432
1568695875;601679
1599824523;1088595
1516330063;222193
1458909907;74555
1576615346;699837
1578390714;723957
1508250961;190527
1574558730;672866
1558471809;495277
1419161712;34924
1379965588;16552
1596118603;1014494
1597677247;1045088
1543823858;375014
1404183472;26280
1583642621;800066
1453520884;67274
1555595620;468912
1510196607;197688
1540686059;353304
1598754332;1066677
1573795090;663149
1526031589;267282
1592980613;955668
1361293040;11594
1594167318;977508
1528150889;278262
1541664598;359934
1552623819;443192
1515463962;218552
1521763584;246468
1579107287;733905
1559203158;502256
1474442087;100189
1499099429;160012
1599790902;1087904
1593574478;966508
1591893183;936064
1486836586;126740
1445947058;58174
1595614497;1004853
1553709077;452398
1587969425;868717
1575938009;690836
1372584197;14382
1594009840;974551
1532534221;302464
1486484158;125894
1490587592;136117
1589960647;902259
1592949707;955090
1597801845;1047578
1506988517;186023
1598801249;1067629
1578025686;718969
1597129182;1034218
1404203442;26289
1592244276;942363
1585863624;834620
1562512367;534848
1404796859;26587
1549786065;419916
1593478274;964740
1569169017;607109
1595439108;1001487
1541296043;357430
1599336021;1078539
1454497662;68524
1507610046;188213
1580218087;749545
1554854435;462339
1583044138;790942
1475556206;102328
1486342615;125565
1598760021;1066793
1507168277;186645
1390057777;20079
1593448507;964206
1599828543;1088677
1593269975;960964
1552286046;440358
1536470082;326032
1478023935;107233
1494298674;146060
1580519583;753864
1539943232;348338
1592568429;948187
1503103641;172737
1580016540;746711
1579159659;734631
1508844498;192684
1600513243;1102973
1590275178;907698
1464349618;82675
1422240794;37022
1494443060;146461
1596559656;1023091
1513921927;212215
1507498321;187808
1451692939;64962
1506096966;182880
1553755987;452801
1522467857;249777
1583297155;794768
1510518782;198921
1551457567;433471
1315977364;4878
1528078071;277874
1542981937;369074
1561901573;528661
1593180267;959324
1599963493;1091475
1573229750;656019
1567744316;590935
1504872226;178642
1517165838;225774
1563311107;543034
1512521648;206637
1589613111;896346
1599667175;1085372
1384406799;18000
1598057198;1052703
1589098178;887608
1369717224;13627
1500636546;164795
1569249459;608065
1585092039;822450
1599681367;1085660
1565283040;563866
1581332571;765631
1539534166;345652
1575358246;683205
1576220174;694565
1596107673;1014283
1571879330;639345
1514783864;215736
1508699246;192156
1552473687;441922
1589445924;893475
1565741863;568832
1586835043;850186
1543390699;371937
1550285898;423921
1539582438;345967
1544303923;378420
1529955712;288000
1550900847;428905
1398941343;23752
1542410031;365075
1597159812;1034813
1598997213;1071633
1576712553;701132
1560122945;511046
1511107109;201158
1463598479;81507
1550022125;421795
1539656446;346453
1537674780;333609
1581773748;772079
1600823252;1109539
1516845657;224400
1581076936;761919
1586288192;841391
1589294580;890912
1592518556;947298
1554888359;462641
1590531315;912142
1499174832;160246
1593906092;972644
1565416826;565321
1574292403;669475
1492032610;139925
1528282628;278954
1599530329;1082543
1539751879;347071
1541643677;359793
1586811839;849812
1542260184;364035
1574268172;669168
1588113711;871118
1383863988;17816
1584363803;811127
1598171109;1054974
1463516027;81377
1526925668;271837
1597920423;1049964
1591297425;925468
1596523994;1022403
1523042771;252507
1584529942;813693
1480906650;113270
1435718320;47882
1516572419;223223
1553250536;448505
1579354621;737360
1600368188;1099963
1584659229;815698
1442621111;54598
1559657581;506596
1563084116;540711
1581180608;763431
1588147863;871686
1519699048;236949
1583834167;802960
1570744486;625669
1600040636;1093106
1594582952;985291
1576038077;692160
1562887439;538654
1594190296;977933
1525053122;262351
1570348920;620968
1583958723;804869
1497986109;156652
1564583275;556399
1597739694;1046343
1562227431;531950
1576733936;701416
1532695448;303409
1573502920;659453
1598173930;1055034
1581129372;762692
1551281651;432035
1571080249;629674
1573999400;665744
1595177351;996503
1533182090;306238
1483601717;119192
1440689348;52645
1470129470;92276
1528017768;277563
1586653460;847274
1559717990;507169
1529592981;285990
1480145659;111631
1511939899;204385
1433524813;45923
1539343857;344384
1594799275;989377
1534690956;315137
1597734451;1046236
1587629991;863125
1565340935;564491
